"WY","WY_label","Year_group","Watershed","Watershed_group","Area","H2O","DOC","Cl","NO3","SO4","NH4","Si","N flux","Ca","K","Mg","Na","H","Al","ANC","HCO3","Discharge L/s","EQPH","Ca_vol","Mg_vol","NO3_vol","SO4_vol","DOC_vol","Al_vol","Al_ug_vol","H_vol","CaMg_vol","WY_group2","WY_group"
2011,NA,NA,"EB","EB (reference)",10.9,149,1940.047,719.495,0.606,794.386,NA,NA,0.606,562.964,42.441,241.931,854.071,21.501,68.684,70.055,80.771,8.24025875,6.0721052631579,41.1832724832215,17.6983080536913,0.0443315436241611,58.1128013422819,141.922901342282,5.02453422818792,135.662424161074,1.57289194630872,58.8815805369128,"2010-16","2010-18"
2012,"12",NA,"EB","EB (reference)",10.9,130,1729.282,781.495,11.323,712.047,NA,NA,11.323,574.931,47.761,232.857,829.002,12.371,50.283,127.166,108.841,19.7157243452381,6.13380952380952,48.2057530769231,19.5241638461538,0.94939,59.7024023076923,144.993644615385,4.21603615384615,113.832976153846,1.03726076923077,67.7299169230769,"2010-16","2010-18"
2013,NA,NA,"EB","EB (reference)",10.9,146,1917.318,812.462,7.535,827.854,NA,NA,7.535,637.282,44.757,255.01,987.207,10.149,50.93,213.924,170.111,3.79160977272727,6.16086956521739,47.577902739726,19.0384178082192,0.562544520547945,61.8055383561644,143.142234246575,3.80230821917808,102.662321917808,0.757699315068493,66.6163205479452,"2010-16","2010-18"
2014,"14",NA,"EB","EB (reference)",10.9,90.914,1403.29,424.18,5.837,454.032,NA,NA,5.837,219.83,30.34,92.8,306.23,4.717,2.34,102,104.89,11.2089559313726,6.12606060606061,26.3561937655367,11.1261191895638,0.699818509800471,54.4354972831467,168.24538574917,0.280550850254086,7.57487295686033,0.565537760960908,37.4823129551004,"2010-16","2010-18"
2015,NA,NA,"EB","EB (reference)",10.9,110.93714325,1462.532,465.83,1.538,561.909,NA,NA,NA,369.546,42.899,154.935,529.247,13.256,38.091,71.937,56.588,13.4180106313131,5.9569696969697,36.3093124808764,15.2229582493779,0.151114401442819,55.2097153448198,143.699380865389,3.74258690855553,101.049846530999,1.30245286445124,51.5322707302543,"2010-16","2010-18"
2016,"16",NA,"EB","EB (reference)",10.9,107.36042548,1422.158,618.026,7.409,466.111,NA,NA,NA,388.219,37.418,143.131,541.325,9.638,33.5,87.415,63.285,4.61610277777778,5.91544444444444,39.4147757991914,14.5316851439885,0.75221479086858,47.3229300022331,144.38767479445,3.40116014227257,91.8313238413593,0.978518849290238,53.9464609431799,"2010-16","2010-18"
2017,NA,NA,"EB","EB (reference)",10.9,122.418348,1862.142,821.658,3.788,538.397,6.101,NA,NA,412.047,49.192,172.873,739.311,13.316,42.35,104.709,73.593,18.0310031495687,5.88144444444444,36.688228303816,15.3924287558594,0.33727950650012,47.9382984321925,165.803150684569,3.77079912890182,101.811576480349,1.18564253129768,52.0806570596754,"2017-18","2010-18"
2018,"18",NA,"EB","EB (reference)",10.9,122.91549727,1895.336,800.746,1.935,568.939,13.318,NA,NA,387.995,56.314,161.931,737.12,14.216,54.582,83.813,62.167,11.0797400878043,5.8734,34.4069347961073,14.3598483446139,0.171593496901939,50.4528333508486,168.076140591283,4.8402667947812,130.687203459092,1.2606579596682,48.7667831407212,"2017-18","2010-18"
1989,"89",NA,"WB","WB (pre-treatment)",10.26,111,2419.212,696.619,215.601,1177.216,7.853,665.394,223.454,904.257,117.312,354.27,856.825,25.143,54.794,109.487,83.95,12.1204411764706,6.04236686390532,83.5826740540541,32.7460378378378,19.9285248648649,108.812938378378,223.61364972973,5.0647427027027,136.748052972973,2.32402864864865,116.328711891892,"1989","1989"
1990,"90",NA,"WB","WB (treatment)",10.26,94,1431.903,610.125,184.801,1150.906,4.581,672.656,189.382,834.056,75.632,318.025,758.698,24.59,49.036,68.516,51.663,8.44609958506225,5.96103734439834,91.036325106383,34.7120904255319,20.1708325531915,125.620165531915,156.290689148936,5.35222723404255,144.510135319149,2.68397234042553,125.748415531915,"1990-99","1990-99"
