"Site","Watershed","Record.Type","ISCO_number","Date","Year","Month","Day","Hour","Season","Ca_ueq_L","Mg_ueq_L","K_ueq_L","Na_ueq_L","NO3_ueq_L","SO4_ueq_L","NH4_ueq_L","total_N_ppm","DOC_mg_L","DIC_mg_L","Al_ppb","Al_org_ppb","Cl_ueq_L","Si_mg_L","total_P_ppb","H_ueq_L","ANC_ueq_L","HCO3_ueq_L","pH_closed_cell","pH_air_eqll","pH_initial","pH_uneqll_older_samples","sp_conductance_us_cm","SUVA"
"EB3","EB","REG",,1986-10-01,1986,10,1,11,"FALL",,,,,0.05,115,,,,,,,76,,,,,,,,,,,
"WB3","WB","REG",,1986-10-01,1986,10,1,11,"FALL",,,,,0.05,110,,,,,,,79,,,,,,,,,,,
"EB3","EB","DUP",,1986-11-13,1986,11,13,11,"FALL",80,27,3.8,80,2,112,,,,,,,70,,,,,,,,,,,
"EB3","EB","REG",,1986-11-13,1986,11,13,11,"FALL",89,30,4.3,85,0.05,117,,,,,,,74,,,1.2,12.2,,5.53,5.92,,,24.3,
"WB3","WB","REG",,1986-11-13,1986,11,13,11,"FALL",101,35,6.4,88,3,107,,,,,,,73,,,0.22,33.4,,6.03,6.65,,,,
"EB3","EB","REG",,1986-11-17,1986,11,17,11,"FALL",99,30,5.1,79,2,112,,,,,,,73,,,0.58,25.6,,6.06,6.24,,,23.4,
"WB3","WB","REG",,1986-11-17,1986,11,17,11,"FALL",90,34,8.4,94,4,107,,,,,,,76,,,0.23,37.2,,6.03,6.63,,,,
"EB3","EB","REG",,1986-11-25,1986,11,25,11,"FALL",83,28,6.1,70,18,105,,,,,,,60,,,2.88,9,,5.45,5.54,,,23.3,
"WB3","WB","REG",,1986-11-25,1986,11,25,11,"FALL",105,35,8.2,74,22,113,,,,,,,61,,,1,15.5,,5.83,6,,,24.8,
"EB3","EB","REG",,1986-12-02,1986,12,2,11,"WINTER",,,,,11,108,,,,,,,60,,,,13.4,,5.69,,,,,
"WB3","WB","REG",,1986-12-02,1986,12,2,11,"WINTER",,,,,12,110,,,,,,,61,,,,19,,5.88,,,,,
"EB3","EB","REG",,1987-01-14,1987,1,14,11,"WINTER",89,32,4.6,81,8,108,1.4,,0.6,0.3,103,58,68,1.9,,0.56,27.1,6.36,5.9,6.25,,,24.7,
"WB3","WB","REG",,1987-01-14,1987,1,14,11,"WINTER",82,34,5.9,86,8,102,1.4,,0,0.4,47,32,73,2.5,,0.55,21.7,8.92,5.93,6.26,,,24.3,
"EB3","EB","REG",,1987-01-21,1987,1,21,11,"WINTER",95,33,5.1,85,8,109,1.4,,0.8,0.4,85,59,77,2,,0.71,27.4,11.5,6.09,6.15,,,24.9,
"WB3","WB","REG",,1987-01-21,1987,1,21,9,"WINTER",84,35,6.1,89,8,102,1.4,,0.1,0.4,49,39,75,2.7,,0.78,23.9,9.07,5.94,6.11,,,24.5,
"EB3","EB","DUP",,1987-02-03,1987,2,3,11,"WINTER",98,37,5.1,85,8.7,109,1.4,,0.7,,62,37,71,2,,0.37,38.3,,6.12,6.43,,,28.2,
"EB3","EB","REG",,1987-02-03,1987,2,3,11,"WINTER",103,35,5.1,84,8.5,106,1.4,,0.2,,64,37,72,2,,0.3,36.1,,6.2,6.53,,,28.9,
"WB3","WB","REG",,1987-02-03,1987,2,3,11,"WINTER",90,37,6.4,88,6.9,98,1.4,,0.2,,45,29,75,2.5,,0.38,26.8,,6.02,6.42,,,27.1,
"EB3","EB","REG",,1987-02-17,1987,2,17,11,"WINTER",109,39,6.9,97,7.6,106,1.4,,,0.6,52,32,75,2,,0.3,43.1,22.2,6.27,6.53,,,28.3,
"WB3","WB","DUP",,1987-02-17,1987,2,17,12,"WINTER",89,39,6.6,89,8.7,98,1.4,,,0.6,38,34,73,2.9,,0.38,34.4,16.5,6.06,6.42,,,25.6,
"WB3","WB","REG",,1987-02-17,1987,2,17,12,"WINTER",86,36,6.6,93,8.7,96,1.4,,,0.6,40,26,73,2.8,,0.3,31.3,16,6.04,6.52,,,25.9,
"EB3","EB","REG",,1987-03-04,1987,3,4,12,"SPRING",116,38,6.1,91,5.4,107,1.4,,1.1,0.6,38,31,72,2.3,,0.19,49.5,22.2,6.27,6.72,,,27.2,
"WB3","WB","REG",,1987-03-04,1987,3,4,12,"SPRING",88,36,6.4,94,7.5,95,1.4,,1.3,0.6,37,27,73,3,,0.37,30.6,17.3,6.09,6.43,,,24.5,
"EB3","EB","REG",,1987-03-10,1987,3,10,11,"SPRING",110,35,6.6,90,5.3,102,,,1.6,0.8,33,33,68,2.3,,0.18,46.4,34.6,6.4,6.75,,,30,
"WB3","WB","REG",,1987-03-10,1987,3,10,11,"SPRING",90,36,6.1,92,7.4,93,,,1.2,0.5,30,28,72,3.2,,0.26,29,16.2,6.17,6.58,,,27.4,
"EB3","EB","DUP",,1987-03-18,1987,3,18,13,"SPRING",120,38,6.1,92,4.3,108,1.4,,,0.5,54,31,71,2.8,,0.15,54.4,20.9,6.37,6.82,,,27.6,
"EB3","EB","REG",,1987-03-18,1987,3,18,13,"SPRING",137,37,6.1,92,5.1,101,1.4,,1.1,0.5,54,38,72,2.8,,0.13,52.4,22.6,6.44,6.88,,,29.1,
"WB3","WB","REG",,1987-03-18,1987,3,18,13,"SPRING",90,35,6.4,90,6.2,95,1.4,,0.9,0.5,40,36,71,3.1,,0.18,36.2,16.4,6.18,6.74,,,23.3,
