"Site","Watershed","Record.Type","ISCO_number","Date","Year","Month","Day","Hour","Season","Ca_ueq_L","Mg_ueq_L","K_ueq_L","Na_ueq_L","NO3_ueq_L","SO4_ueq_L","NH4_ueq_L","total_N_ppm","DOC_mg_L","DIC_mg_L","Al_ppb","Al_org_ppb","Cl_ueq_L","Si_mg_L","total_P_ppb","H_ueq_L","ANC_ueq_L","HCO3_ueq_L","pH_closed_cell","pH_air_eqll","pH_initial","pH_uneqll_older_samples","sp_conductance_us_cm","SUVA"
"EB3","EB","REG",,1987-03-23,1987,3,23,15,"SPRING",125,39,6.9,96,10.5,106,1.4,,1.3,0.5,45,44,90,2,,0.2,48.4,17.6,6.23,6.7,,,30.5,
"WB3","WB","REG",,1987-03-23,1987,3,23,15,"SPRING",103,41,7.7,99,17.2,95,1.4,,1.2,0.8,37,28,88,2.7,,0.22,37.9,19.1,5.97,6.65,,,27.8,
"EB3","EB","REG",,1987-03-25,1987,3,25,11,"SPRING",,30,5.9,80,13.2,99,1.4,,1.2,0.2,88,46,68,1.5,,0.52,18.2,3.49,5.79,6.28,,,24.6,
"WB3","WB","REG",,1987-03-25,1987,3,25,12,"SPRING",84,35,6.6,79,13.9,86,1.4,,1.1,0.4,38,25,69,2.1,,0.27,26.4,9.38,5.96,6.57,,,23.2,
"EB3","EB","REG",,1987-03-27,1987,3,27,11,"SPRING",88,30,5.9,80,24.4,97,1.4,,1.5,,124,74,62,1.5,,2.51,8.2,,5.39,5.6,,,25.6,
"WB3","WB","REG",,1987-03-27,1987,3,27,11,"SPRING",98,35,7.4,82,24.9,99,1.4,,1.3,0.2,70,48,80,1.6,,1.23,13.5,3.3,5.76,5.91,,,26.8,
"EB3","EB","REG",,1987-03-29,1987,3,29,10,"SPRING",81,28,5.1,75,21.5,96,1.4,,1.5,,160,75,64,1.5,,2.88,5,,5.58,5.54,,,23.7,
"WB3","WB","REG",,1987-03-29,1987,3,29,10,"SPRING",96,33,6.6,78,21.2,100,1.4,,1.2,0.1,90,49,69,1.7,,0.95,13.4,1.65,5.76,6.02,,,23.7,
"EB3","EB","REG",,1987-04-01,1987,4,1,13,"SPRING",78,29,8.2,73,25.9,81,1.4,,2.4,,313,92,84,1.1,,8.51,-3.1,,5.08,5.07,,,27.2,
"WB3","WB","REG",,1987-04-01,1987,4,1,14,"SPRING",92,35,11.8,80,28,97,1.4,,2.1,,309,100,89,1.4,,7.41,4,,5.19,5.13,,,29.4,
"EB3","EB","REG",,1987-04-02,1987,4,2,13,"SPRING",79,30,7.7,75,23.6,84,1.4,,2.1,,278,90,86,1.2,,6.31,2.6,,5.14,5.2,,,26.3,
"WB3","WB","REG",,1987-04-02,1987,4,2,13,"SPRING",93,34,10.5,81,26.5,98,1.4,,1.7,,241,73,92,1.5,,5.89,0.1,,5.25,5.23,,,29,
"EB3","EB","REG",,1987-04-03,1987,4,3,11,"SPRING",83,29,6.6,75,20.7,87,1.4,,1.8,,243,121,83,1.8,,5.37,1.7,,5.28,5.27,,,27,
"WB3","WB","REG",,1987-04-03,1987,4,3,11,"SPRING",92,35,10.2,82,22.9,98,1.4,,1.5,,195,133,89,1.6,,4.07,2,,5.42,5.39,,,29.2,
"WB3","WB","REG",,1987-04-05,1987,4,5,16,"SPRING",87,32,8.2,77,21,97,1.4,,1.6,,241,118,80,1.4,,4.17,4.2,,5.43,5.38,,,27,
"EB3","EB","REG",,1987-04-05,1987,4,5,17,"SPRING",73,27,5.9,71,15.7,85,1.4,,1.9,,214,115,73,1.2,,5.01,4.4,,5.34,5.3,,,24.5,
"EB3","EB","REG",,1987-04-06,1987,4,6,15,"SPRING",75,25,5.4,68,15.1,87,1.4,,2.1,,283,166,73,1.1,,7.59,-1.3,,5.21,5.12,,,19.9,
"WB3","WB","REG",,1987-04-06,1987,4,6,15,"SPRING",85,30,7.9,70,22.5,91,1.4,,1.7,,188,120,73,1.5,,4.17,6.4,,5.42,5.38,,,20.4,
"WB3","WB","REG",,1987-04-07,1987,4,7,10,"SPRING",84,30,7.7,72,17.3,97,1.4,,1.6,,247,120,73,1.4,,5.75,0.2,,5.34,5.24,,,25.7,
"EB3","EB","REG",,1987-04-07,1987,4,7,11,"SPRING",75,26,5.6,67,13.4,87,1.4,,1.9,,235,119,69,1.2,,6.92,-0.4,,5.18,5.16,,,23.3,
"EB3","EB","REG",,1987-04-08,1987,4,8,11,"SPRING",79,26,5.6,70,15.4,89,1.4,,1.8,,229,100,70,1.1,,3.09,2,,5.38,5.51,,,23.9,
"WB3","WB","REG",,1987-04-08,1987,4,8,11,"SPRING",87,30,7.7,74,20.6,99,1.4,,1.4,,218,95,74,1.5,,1.91,3.9,,5.5,5.72,,,26,
"EB3","EB","REG",,1987-04-09,1987,4,9,11,"SPRING",81,27,5.6,70,11.5,91,1.4,,1.6,,220,107,72,1.4,,3.47,3.7,,5.41,5.46,,,23.8,
"WB3","WB","REG",,1987-04-09,1987,4,9,11,"SPRING",92,32,7.4,73,17.4,97,1.4,,1.3,,146,78,75,1.6,,1.91,6.3,,5.57,5.72,,,25.8,
"EB3","EB","REG",,1987-04-10,1987,4,10,11,"SPRING",72,28,5.9,71,10.3,91,1.4,,1.6,,182,100,70,1.5,,3.31,5.3,,5.48,5.48,,,24.4,
"WB3","WB","DUP",,1987-04-10,1987,4,10,11,"SPRING",80,34,7.9,76,15.7,97,1.4,,,,133,70,73,2,,2,6.1,,5.63,5.7,,,25.7,
"WB3","WB","REG",,1987-04-10,1987,4,10,11,"SPRING",81,32,7.9,76,15.9,97,1.4,,1.4,,141,79,74,1.7,,2.24,6,,5.63,5.65,,,25.3,
"EB3","EB","REG",,1987-04-14,1987,4,14,10,"SPRING",77,29,5.9,74,7.3,96,1.4,,1.5,,148,90,69,1.6,,2.51,5.4,,5.58,5.6,,,23.7,
"WB3","WB","REG",,1987-04-14,1987,4,14,10,"SPRING",83,34,7.9,78,13.2,97,1.4,,1.3,,85,53,72,2.1,,1.23,8.5,,5.71,5.91,,,25.2,
"WB3","WB","REG",,1987-04-21,1987,4,21,10,"SPRING",86,32,8.2,84,3.7,102,1.4,,1.3,,64,45,71,2.2,,1.07,12.1,,5.49,5.97,,,26.6,
"EB3","EB","REG",,1987-04-21,1987,4,21,11,"SPRING",82,28,6.1,80,8.1,102,1.4,,1.6,,115,59,76,1.7,,1.51,19.4,,5.68,5.82,,,25.7,
"EB3","EB","REG",,1987-04-28,1987,4,28,10,"SPRING",89,30,6.1,84,2.3,104,1.4,,1.3,,105,64,72,1.9,,0.62,19.4,,5.86,6.21,,,24.9,
"WB3","WB","REG",,1987-04-28,1987,4,28,10,"SPRING",88,34,7.9,86,6.6,101,1.4,,1.1,,69,51,77,2.4,,0.54,16.7,,5.83,6.27,,,25.4,
"EB3","EB","REG",,1987-04-30,1987,4,30,12,"SPRING",81,28,5.9,81,2.8,100,1.4,,1.5,,103,61,68,1.7,,1.07,10.8,,5.69,5.97,,,24.2,
"WB3","WB","REG",,1987-04-30,1987,4,30,12,"SPRING",86,33,7.7,85,7.2,98,1.4,,1.2,,52,43,74,2.2,,0.68,15.4,,5.81,6.17,,,25.2,
"EB3","EB","REG",,1987-05-05,1987,5,5,10,"SPRING",83,29,6.1,87,3.2,103,1.4,,1.3,,100,72,69,1.6,,0.87,10.7,,5.71,6.06,,,24.3,
"WB3","WB","REG",,1987-05-05,1987,5,5,11,"SPRING",86,33,7.9,84,6.9,101,1.4,,1.1,,62,48,75,2.3,,0.66,15,,5.93,6.18,,,23.2,
"EB3","EB","REG",,1987-05-07,1987,5,7,11,"SPRING",74,26,5.6,77,4.3,100,1.4,,1.6,,153,76,63,1.6,,1.95,8.3,,5.6,5.71,,,24.1,
"WB3","WB","REG",,1987-05-07,1987,5,7,11,"SPRING",85,33,8.2,82,8.9,107,1.4,,1.4,,98,66,72,1.9,,0.95,10.4,,5.82,6.02,,,26.1,
"EB3","EB","REG",,1987-05-12,1987,5,12,10,"SPRING",85,27,6.9,83,2.5,105,1.4,,1.3,,109,,70,1.8,,0.89,11.4,,5.87,6.05,,,22.9,
"WB3","WB","REG",,1987-05-12,1987,5,12,11,"SPRING",86,33,8.7,87,6.1,103,1.4,,1.1,,66,,74,2.4,,0.5,19,,5.9,6.3,,,24.7,
"EB3","EB","REG",,1987-05-19,1987,5,19,12,"SPRING",88,30,7.4,86,1.6,107,3.88,,1.3,,90,54,74,1.9,,0.51,15.7,,5.87,6.29,,,23.1,
"WB3","WB","REG",,1987-05-19,1987,5,19,12,"SPRING",85,34,8.9,90,4.9,103,1.4,,1.5,,62,48,77,2.6,,0.6,17.4,,5.96,6.22,,,24.7,
"EB3","EB","REG",,1987-05-26,1987,5,26,11,"SPRING",89,30,6.1,87,0.8,105,1.4,,1.2,,78,48,74,2,,0.39,21.8,,6.04,6.41,,,27.5,
"WB3","WB","REG",,1987-05-26,1987,5,26,11,"SPRING",85,34,8.4,91,3.6,101,1.4,,1.2,,53,53,76,2.7,,0.43,22.7,,5.9,6.37,,,28,
"WB3","WB","REG",,1987-06-02,1987,6,2,10,"SUMMER",89,35,11,98,2.9,104,1.4,,1.2,,58,58,81,2.8,,0.29,24.7,,5.95,6.54,,,28.4,
"EB3","EB","REG",,1987-06-02,1987,6,2,11,"SUMMER",88,30,5.4,88,0.4,109,1.4,,1.3,,83,55,73,2.1,,0.38,16.5,,5.96,6.42,,,27.2,
"EB3","EB","REG",,1987-06-09,1987,6,9,9,"SUMMER",81,27,3.8,85,1,106,1.4,,1.3,,102,53,65,2,,1.1,9.4,,5.87,5.96,,,24.7,
"WB3","WB","REG",,1987-06-09,1987,6,9,10,"SUMMER",89,35,5.6,96,2.9,105,1.4,,1.2,,62,50,72,2.4,,0.4,22.3,,6.06,6.4,,,26.6,
"WB3","WB","REG",,1987-06-17,1987,6,17,10,"SUMMER",90,34,4.6,94,1.4,103,1.4,,1.1,1,38,33,76,2.8,,0.37,28,27.1,6.05,6.43,,,27.7,
"EB3","EB","DUP",,1987-06-17,1987,6,17,13,"SUMMER",94,30,2.8,87,0.2,106,1.4,,,0.7,70,43,71,2.1,,0.37,29.6,27.9,6.33,6.43,,,27.1,
"EB3","EB","REG",,1987-06-17,1987,6,17,13,"SUMMER",96,30,2.6,90,0.1,108,1.4,,1.2,0.7,61,50,72,2.1,,0.39,27.8,26.2,6.28,6.41,,,26.8,
"WB3","WB","REG",,1987-06-23,1987,6,23,9,"SUMMER",85,34,3.8,94,0.4,97,1.4,,1.2,1.1,55,41,72,2.9,,0.3,34,28.4,6.02,6.52,,,25.5,
"EB3","EB","REG",,1987-06-23,1987,6,23,10,"SUMMER",105,33,3.3,92,0.05,109,1.4,,1.4,0.8,70,58,73,2.2,,0.26,38.9,35,6.41,6.59,,,26,
"EB3","EB","REG",,1987-06-25,1987,6,25,10,"SUMMER",106,34,2.6,94,0.05,105,1.4,,1.1,0.3,51,33,73,2.3,,0.15,45.4,13,6.4,6.81,,,30.2,
"WB3","WB","REG",,1987-06-25,1987,6,25,11,"SUMMER",86,34,3.6,94,0.7,99,1.4,,1,1.1,36,20,75,3,,0.23,32.9,30.3,6.06,6.63,,,28.3,
"WB3","WB","DUP",,1987-06-30,1987,6,30,11,"SUMMER",85,31,4.9,81,0.9,104,1.4,,,0.6,64,47,65,2,,0.5,17.5,16.3,6.05,6.3,,,26.1,
"WB3","WB","REG",,1987-06-30,1987,6,30,11,"SUMMER",85,31,5.4,84,0.7,107,1.4,,1.5,0.7,69,51,67,2.1,,0.59,19.1,17.2,5.99,6.23,,,25.5,
"EB3","EB","REG",,1987-06-30,1987,6,30,16,"SUMMER",82,26,3.3,80,0.3,101,1.4,,1.7,0.3,124,84,63,1.8,,0.98,23.8,7.03,5.96,6.01,,,24,
"EB3","EB","REG",,1987-07-07,1987,7,7,10,"SUMMER",97,30,2.3,89,0.05,107,1.4,,1.4,0.6,76,53,71,2.1,,0.41,27.8,20.2,6.2,6.39,,,26.9,
"WB3","WB","REG",,1987-07-07,1987,7,7,10,"SUMMER",84,34,3.8,92,0.5,102,,,1.3,0.8,54,38,73,2.6,,0.38,26.9,16.1,5.87,6.42,,,24.9,
"WB3","WB","REG",,1987-07-14,1987,7,14,12,"SUMMER",86,32,3.6,96,0.6,102,1.4,,1.1,1,48,28,75,2.9,,0.27,29.3,23.4,5.96,6.57,,,26.4,
"EB3","EB","REG",,1987-07-14,1987,7,14,13,"SUMMER",103,31,2.6,94,0.05,109,1.4,,1.3,0.2,61,46,73,2.3,,0.25,35.9,9.22,6.46,6.61,,,27.9,
"WB3","WB","REG",,1987-07-21,1987,7,21,10,"SUMMER",90,35,3.8,104,1,106,1.4,,1.2,0.5,51,41,81,2.9,,0.27,35.2,11.7,5.96,6.57,,,27.6,
"EB3","EB","REG",,1987-07-21,1987,7,21,12,"SUMMER",110,35,3.1,96,0.05,111,1.4,,1.5,0.6,54,48,77,2.3,,0.22,46.6,25.6,6.39,6.65,,,29.4,
"EB3","EB","REG",,1987-07-28,1987,7,28,12,"SUMMER",114,33,3.3,100,1,109,1.4,,1.3,,52,40,79,2.3,,0.16,50.4,,6.49,6.8,,,27.1,
"WB3","WB","REG",,1987-07-28,1987,7,28,12,"SUMMER",90,32,3.1,100,0.05,101,1.4,,1.1,,62,44,78,2.9,,0.22,36.6,,5.99,6.66,,,26.3,
"EB3","EB","REG",,1987-08-04,1987,8,4,10,"SUMMER",106,30,2.6,94,0.05,110,1.4,,1.7,0.6,63,52,73,1.9,,0.22,39.6,21.9,6.26,6.65,,,26.8,
"WB3","WB","REG",,1987-08-04,1987,8,4,10,"SUMMER",87,32,3.3,97,0.05,101,3.32,,1.3,0.6,60,48,74,2.7,,0.19,33.8,15.8,6.03,6.72,,,25.1,
"EB3","EB","REG",,1987-08-11,1987,8,11,10,"SUMMER",123,36,3.1,102,0.05,114,1.4,,1.3,1.2,44,34,77,2.3,,0.18,64.6,45.6,6.29,6.74,,,31,
"WB3","WB","REG",,1987-08-11,1987,8,11,11,"SUMMER",90,35,3.3,101,0.05,103,1.4,,1.3,1.5,50,37,78,2.7,,0.28,40.9,32.3,5.91,6.56,,,28.2,
"WB3","WB","REG",,1987-08-18,1987,8,18,10,"SUMMER",101,36,3.3,110,0.05,99,1.4,,1.2,,56,37,82,3.3,,0.15,56.8,,5.85,6.81,,,27.9,
"WB3","WB","REG",,1987-08-25,1987,8,25,11,"SUMMER",103,39,3.1,105,0.05,96,3.32,,2.3,,54,36,84,3.3,,0.13,54.5,,5.91,6.89,,,25.1,
"WB3","WB","REG",,1987-09-01,1987,9,1,12,"FALL",106,42,2.8,109,1,97,1.4,,1.7,1.8,56,35,83,3.3,,0.11,65.9,47.3,6.03,6.97,,,31.6,
"WB3","WB","DUP",,1987-09-08,1987,9,8,12,"FALL",109,40,2.3,109,0.05,96,1.4,,,2.1,40,24,85,3.2,,0.06,71.4,45.3,5.91,7.19,,,27.6,
"WB3","WB","REG",,1987-09-08,1987,9,8,12,"FALL",108,39,2.6,109,0.05,94,1.4,,1.4,2,40,30,85,3.2,,0.07,70.3,43.9,5.92,7.16,,,28.6,
"WB3","WB","REG",,1987-09-15,1987,9,15,12,"FALL",91,35,3.6,102,0.05,102,1.4,,1.7,1,61,41,79,2.6,,0.17,44.1,24.6,5.99,6.77,,,28.4,
"EB3","EB","REG",,1987-09-15,1987,9,15,15,"FALL",131,40,4.9,105,0.05,114,1.4,,1.8,0.9,36,27,84,2.2,,0.08,76.8,44,6.52,7.1,,,31.1,
"EB3","EB","REG",,1987-09-22,1987,9,22,10,"FALL",71,21,3.3,70,0.05,102,1.4,,2.9,0.1,215,124,52,1.4,,3.72,6.5,0.79,5.39,5.43,,,17.6,
"WB3","WB","REG",,1987-09-22,1987,9,22,14,"FALL",79,26,4.9,75,0.05,112,1.4,,2.6,0.4,128,79,56,1.6,,0.85,12.9,5.79,5.69,6.07,,,20.7,
"WB3","WB","REG",,1987-09-29,1987,9,29,11,"FALL",89,31,4.3,90,0.05,108,1.4,,1.9,0.6,61,44,71,2.4,,0.31,24.9,14.8,5.99,6.51,,,25.6,
"EB3","EB","DUP",,1987-09-29,1987,9,29,12,"FALL",96,28,3.1,89,0.05,113,1.4,,,0.5,72,53,71,2,,0.33,23.9,14.6,6.1,6.48,,,26.2,
"EB3","EB","REG",,1987-09-29,1987,9,29,12,"FALL",96,28,2.8,89,0.05,117,1.4,,2.1,0.5,73,56,71,2,,0.34,24.2,14.8,6.11,6.47,,,25.3,
"EB3","EB","REG",,1987-10-06,1987,10,6,11,"FALL",82,26,3.6,83,0.05,107,1.4,,2,0.2,102,66,70,1.7,,0.83,13.8,3.68,5.82,6.08,,,26.1,
"WB3","WB","DUP",,1987-10-06,1987,10,6,11,"FALL",85,30,5.9,88,0.05,119,1.4,,,0.4,74,48,73,1.9,,0.33,23.5,10.7,6.04,6.48,,,27.6,
"WB3","WB","REG",,1987-10-06,1987,10,6,11,"FALL",86,31,5.6,89,0.05,118,1.4,,1.8,0.5,74,52,72,2,,0.33,22.4,12.5,6,6.48,,,27.5,
"EB3","EB","REG",,1987-10-13,1987,10,13,11,"FALL",83,26,4.3,86,0.05,107,1.4,,1.8,0.2,108,62,73,1.7,,0.78,14.2,3.49,5.79,6.11,,,25.5,
"WB3","WB","DUP",,1987-10-13,1987,10,13,11,"FALL",83,29,5.4,87,0.05,112,1.4,,,,67,44,72,1.9,,0.42,18.7,,5.96,6.38,,,25.5,
"WB3","WB","REG",,1987-10-13,1987,10,13,11,"FALL",86,30,5.9,90,1,113,1.4,,1.5,0.3,70,49,72,2,,0.46,18.6,6.92,5.95,6.34,,,25.5,
"EB3","EB","REG",,1987-10-20,1987,10,20,11,"FALL",89,28,4.6,90,0.05,109,1.4,,2.4,0.4,79,59,74,1.9,,0.42,22.6,11.7,6.1,6.38,,,25.7,
"EB3","EB","REP",,1987-10-20,1987,10,20,11,"FALL",90,28,4.3,90,0.05,110,1.4,,,,84,57,75,1.9,,0.42,,,6.06,6.38,,,25.5,
"WB3","WB","DUP",,1987-10-20,1987,10,20,11,"FALL",85,30,5.9,94,0.05,109,1.4,,,0.4,40,40,76,2.4,,0.35,23.8,12.8,6.16,6.45,,,26.6,
"WB3","WB","REG",,1987-10-20,1987,10,20,11,"FALL",85,30,5.9,94,0.05,113,1.4,,1.5,0.3,46,38,75,2.3,,0.41,22.2,8.64,6.09,6.39,,,26.5,
"EB3","EB","REG",,1987-10-28,1987,10,28,10,"FALL",88,30,8.2,92,0.05,112,1.4,,2,,109,70,76,1.8,,0.56,19.9,,6,6.25,,,25.3,
"WB3","WB","REG",,1987-10-28,1987,10,28,10,"FALL",84,32,8.7,96,0.05,110,1.4,,1.6,,54,41,80,2.2,,0.32,23.9,,5.98,6.5,,,26,
"WB3","WB","REP",,1987-10-28,1987,10,28,10,"FALL",84,33,8.9,95,0.05,108,,,,,52,39,80,2.2,,0.37,23.9,,6.15,6.43,,,26.6,
"WB3","WB","REG",,1987-11-04,1987,11,4,12,"FALL",86,32,6.6,93,0.05,110,1.4,,1.3,,53,36,77,2.2,,0.33,19.5,,6.07,6.48,,,27.4,
"WB3","WB","REP",,1987-11-04,1987,11,4,12,"FALL",85,32,6.6,93,0.05,113,,,,,55,41,77,2.2,,0.32,23,,6.13,6.49,,,26.6,
"EB3","EB","REG",,1987-11-04,1987,11,4,13,"FALL",86,28,4.9,89,0.05,107,1.4,,1.5,,92,60,76,1.8,,0.62,14,,5.84,6.21,,,25.9,
"EB3","EB","DUP",,1987-11-04,1987,11,4,14,"FALL",86,28,4.9,89,0.05,111,1.4,,,0.7,99,54,80,1.8,,0.65,11.7,15.9,5.94,6.19,,,26.2,
"WB3","WB","REG",,1987-11-10,1987,11,10,10,"FALL",84,33,6.4,93,1.1,112,1.4,,1.3,1,50,41,74,2.3,,0.38,23.9,27.5,6.06,6.42,,,26.8,
"EB3","EB","REG",,1987-11-10,1987,11,10,12,"FALL",87,30,4.6,90,0.05,110,1.4,,1.4,0.5,94,63,79,1.9,,0.58,18.7,11.9,5.97,6.24,,,26,
"WB3","WB","DUP",,1987-11-17,1987,11,17,12,"FALL",84,33,6.4,91,1.3,106,1.4,,,0.7,47,36,78,2.5,,0.38,22.4,18.4,6.03,6.42,,,25.6,
"WB3","WB","REG",,1987-11-17,1987,11,17,12,"FALL",82,32,5.9,91,2.1,108,1.4,,1.1,0.7,52,38,74,2.5,,0.35,22.2,15.1,5.91,6.45,,,25.8,
"EB3","EB","REG",,1987-11-17,1987,11,17,13,"FALL",86,29,4.1,87,0.7,108,1.4,,1.4,0.5,95,62,76,2,,0.58,17,11.3,5.94,6.24,,,25.6,
"EB3","EB","REP",,1987-11-17,1987,11,17,13,"FALL",86,29,4.1,87,1,105,1.4,,,0.5,99,63,76,1.9,,0.59,16.5,14.6,6.1,6.23,,,25.5,
"EB3","EB","REG",,1987-11-23,1987,11,23,12,"FALL",85,29,3.8,87,1.1,94,1.4,,1.4,0.5,112,60,80,1.9,,0.81,16.2,9.37,5.83,6.09,,,25.8,
"WB3","WB","REG",,1987-11-23,1987,11,23,12,"FALL",86,34,6.1,90,3,108,1.4,,1.4,0.6,50,40,77,2.3,,0.41,17.8,14.3,5.97,6.39,,,26.5,
"EB3","EB","REG",,1987-12-01,1987,12,1,8,"WINTER",72,26,10,73,10.2,94,1.4,,3.3,0.2,289,168,80,1.4,,7.76,-1,0.85,5.1,5.11,,,25.8,
"WB3","WB","DUP",,1987-12-01,1987,12,1,11,"WINTER",81,27,11.8,75,10.3,105,1.4,,,0.3,241,131,74,1.7,,5.25,2.2,1.74,5.24,5.28,,,27,
"WB3","WB","REG",,1987-12-01,1987,12,1,11,"WINTER",82,28,12.3,77,6.5,104,1.4,,2.8,0.3,242,136,77,1.7,,5.62,2.9,1.74,5.24,5.25,,,26.9,
"EB3","EB","REP",,1987-12-01,1987,12,1,12,"WINTER",72,26,10,73,10.1,94,,,,0.2,290,161,80,,,7.08,-0.9,0.84,5.09,5.15,,,25.8,
"EB3","EB","REG",,1987-12-08,1987,12,8,10,"WINTER",84,28,4.9,82,3.1,103,1.4,,1.7,0.4,121,68,78,1.9,,1.15,11.9,6.48,5.75,5.94,,,25.3,
"WB3","WB","REG",,1987-12-08,1987,12,8,11,"WINTER",87,31,6.6,86,4.9,106,1.4,,1.5,0.5,76,48,77,2.4,,0.81,13.4,10.1,5.87,6.09,,,26.2,
